0;1;1;0;5;1;1;0;1;0;0;0;0
0;1;1;0;18;4;1;0;0;0;0;0;0
0;1;1;0;18;4;1;0;0;0;0;0;0
0;1;1;0;18;4;1;0;0;0;0;0;0
0;1;1;0;18;4;3;0;0;0;0;0;0
0;3;1;0;10;7;2;0;0;0;0;0;0
0;2;1;0;10;7;2;0;0;0;0;0;0
0;2;1;0;10;7;2;0;0;0;0;0;0
0;2;0;0;17;13;0;0;0;0;0;0;0
0;2;0;0;17;13;0;0;0;0;0;0;0
25;8;0;0;17;13;7;5;0;0;0;0;0
0;1;0;0;17;13;1;2;0;0;0;0;0
0;1;0;0;17;13;0;0;0;0;0;0;0
0;1;0;0;17;13;0;0;0;0;0;0;0
0;2;1;0;29;7;0;0;0;0;0;0;0
0;1;1;0;29;7;1;0;0;0;0;0;0
0;4;1;0;29;7;2;0;0;0;0;0;0
6;2;0;0;5;2;1;0;0;0;0;0;0
0;1;0;0;9;5;1;0;0;0;0;0;0
25;4;0;0;9;5;4;1;0;0;0;0;0
0;1;0;1;12;1;0;0;0;0;0;0;0
0;2;1;0;29;7;2;0;1;0;0;0;0
0;2;0;0;5;2;2;0;0;0;0;0;0
0;1;0;0;9;5;0;0;0;0;0;0;0
53;1;0;0;3;1;0;0;1;0;0;0;0
0;1;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;0;0;0;0;0;0;0
0;1;0;37;48;10;0;0;0;0;0;0;0
25;3;0;37;48;10;0;0;0;0;0;0;0
0;1;0;37;48;10;0;0;1;0;0;0;0
0;1;0;37;48;10;0;0;0;0;0;0;0
0;1;0;37;48;10;0;0;0;0;0;0;0
0;1;0;37;48;10;0;1;0;0;0;0;0
0;2;0;37;48;10;0;0;0;0;0;0;0
0;2;0;0;10;3;3;0;0;0;0;0;0
0;1;0;0;10;3;1;2;0;0;0;0;0
0;1;0;0;7;3;1;0;0;0;0;0;0
0;2;0;0;7;3;1;2;0;0;0;0;0
0;2;0;0;7;3;2;0;0;0;0;0;0
0;1;0;0;7;3;0;1;0;0;0;0;0
0;1;0;37;48;10;0;0;0;0;0;0;0
0;1;0;37;48;10;0;0;0;0;0;0;0
0;1;0;0;10;3;0;0;0;0;0;0;0
0;1;0;0;7;3;0;0;0;0;0;0;0
0;1;0;0;7;3;0;0;0;0;0;0;0
0;1;1;4;25;9;0;0;1;0;0;0;0
0;1;1;4;25;9;0;0;0;1;0;0;0
9;7;1;4;25;9;0;0;3;4;0;0;0
0;5;0;0;4;5;0;0;2;0;0;0;0
0;1;1;4;25;9;0;0;0;0;0;0;0
0;2;1;11;44;11;0;0;0;0;0;0;0
0;3;1;11;44;11;0;0;0;0;0;0;0
0;3;1;11;44;11;0;0;0;0;0;0;0
