DependencyCount, ThrowsException, ModifiesParameters, UnknownMethod, ModifiesLocalState, ReadsLocalState, ModifiesGlobalState, ReadsGlobalState, Bug
0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0, 0, 4, 0, 0, 0, 0, 0
24, 0, 0, 11, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
58, 0, 0, 24, 0, 0, 0, 1, 0
157, 0, 0, 50, 0, 10, 0, 12, 0
34, 0, 0, 0, 0, 6, 0, 3, 0
6, 0, 0, 3, 0, 2, 0, 0, 0
2, 0, 0, 1, 0, 0, 0, 0, 0
8, 0, 0, 3, 0, 0, 0, 0, 0
540, 0, 0, 163, 0, 38, 0, 36, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0, 0, 0
4, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
14, 0, 0, 0, 0, 6, 0, 4, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
12, 0, 0, 2, 0, 3, 0, 0, 0
14, 0, 0, 2, 0, 4, 0, 0, 0
34, 0, 0, 2, 0, 15, 0, 4, 0
584, 0, 0, 165, 0, 55, 0, 41, 0
2, 0, 0, 1, 0, 1, 0, 0, 0
1332, 28, 0, 327, 7, 212, 8, 85, 0
1334, 28, 0, 327, 7, 212, 8, 86, 0
1336, 28, 0, 327, 7, 212, 8, 87, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0, 0, 0, 0, 1, 0, 2, 0
0, 0, 0, 0, 0, 3, 0, 0, 0
2, 0, 0, 1, 1, 4, 0, 0, 0
8, 0, 0, 2, 1, 8, 0, 0, 0
2, 0, 0, 1, 0, 4, 0, 0, 0
4, 0, 0, 1, 0, 4, 0, 0, 0
10, 0, 0, 4, 1, 4, 0, 0, 0
12, 0, 0, 4, 1, 4, 0, 0, 0
